latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
19.25323898,83.24083522,1,24.886,30.257,2.118,0.001,0.419,598,3.478,2,60
19.26804766,83.24611034,1,24.886,30.257,2.118,0.001,0.423,841,24.798,2,60
19.25920972,83.23146665,1,25.545,41.064,2.054,0,0.349,678,16.472,3,62
19.2977096,83.23085575,1,25.599,29.218,1.454,0.001,0.454,675,0.927,3,63
19.77356703,83.9728145,1,24.053,39.221,0.854,0.016,0.52,824,19.159,3,65
19.0113595,83.17561195,1,24.338,55.257,1.99,0.038,0.388,986,29.227,3,71
19.28373032,83.20620584,1,24.847,39.645,2.677,0,0.446,735,24.706,3,72
19.97296019,83.884774,1,26.269,26.251,0.537,0.003,0.436,717,26.912,3,75
18.63790087,82.46813989,1,25.258,39.609,0.967,0.012,0.485,780,22.842,3,76
19.98722039,83.88308846,1,27.459,25.754,1.317,0.008,0.408,797,19.029,3,76
19.84696829,83.64280534,1,27.46,30.225,0.525,0.012,0.507,946,30.93,3,76
19.26803874,84.0264664,1,27.348,41.938,0.828,0.009,0.438,765,10.721,3,76
20.19394878,84.06965725,1,28.281,33.757,1.303,0.119,0.375,749,7.443,4,93
19.35785841,83.18168525,1,27.306,36.264,1.263,0.002,0.33,778,20.68,4,93
18.55753004,82.32576972,1,28.105,39.122,0.831,0.002,0.515,445,2.933,4,93
19.92756208,83.65088524,1,27.413,42.29,1.144,1.517,0.446,953,22.317,4,96
19.93248047,83.64946724,1,27.413,42.29,1.144,1.517,0.419,858,21.752,4,96
19.9324002,83.62357324,1,27.413,42.29,1.144,1.517,0.463,839,13.439,4,96
19.95315732,83.57160242,1,27.958,41.176,1.151,2.262,0.493,578,13.326,4,96
19.97001272,83.59396481,1,28.333,46.661,1.172,0.426,0.435,752,19.129,4,98
19.92156013,83.67814818,1,26.888,62.548,2.058,3.902,0.537,696,20.429,4,102
19.73871915,84.02294371,1,27.165,52.54,1.122,1.202,0.476,900,14.902,4,105
19.92470826,83.58473001,1,27.888,47.746,1.238,0.096,0.489,737,34.145,4,105
19.85511061,83.59343864,1,30.517,41.071,0.716,0,0.368,804,26.069,4,110
19.85125794,83.59039307,1,30.517,41.071,0.716,0,0.449,738,16.925,4,110
18.05581874,81.89256359,1,31.289,50.222,0.227,0.064,0.499,888,17.606,4,112
18.03486097,81.87315312,1,29.476,59.755,0.514,2.662,0.486,736,25.431,4,113
20.30130164,83.67508478,1,32.171,35.956,0.761,0.008,0.416,580,7.915,4,113
19.89200967,83.92630607,1,29.901,45.725,0.955,0.549,0.481,886,16.576,4,113
19.89537183,83.9288656,1,29.901,45.725,0.955,0.549,0.429,882,22.449,4,113
19.82807062,83.5673306,1,28.569,65.972,1.334,0.68,0.592,552,25.535,4,118
19.53789908,83.13931487,1,29.227,35.564,1.257,0.114,0.511,816,17.196,5,129
20.01930808,83.6483703,1,30.693,41.843,0.825,0.394,0.477,576,14.918,5,130
